0041 ; 24B6 ; # A → Ⓐ
0041 ; 1F150 ; # A → 🅐
0041 ; FF21 ; # A → Ａ
0041 ; 1D400 ; # A → 𝐀
0041 ; 1D56C ; # A → 𝕬
0041 ; 1D468 ; # A → 𝑨
0041 ; 1D4D0 ; # A → 𝓐
0041 ; 1D538 ; # A → 𝔸
0041 ; 1D670 ; # A → 𝙰
0041 ; 1D5A0 ; # A → 𝖠
0041 ; 1D5D4 ; # A → 𝗔
0041 ; 1D63C ; # A → 𝘼
0041 ; 1D608 ; # A → 𝘈
0041 ; 1F130 ; # A → 🄰
0041 ; 1F170 ; # A → 🅰
0041 ; 1F1E6 ; # A → 🇦
0041 ; 1D504 ; # A → 𝔄
0041 ; 2090 ; # A → ₐ
0041 ; 1D2C ; # A → ᴬ
0041 ; 249C ; # A → ⒜
0041 ; 2200 ; # A → ∀
0041 ; 00C1 ; # A → Á
0041 ; 0041 0324 ; # A → A̤
0041 ; 00C4 ; # A → Ä
0041 ; 0041 0324 0308 ; # A → Ä̤
0041 ; 0338 0041 ; # A → ̸A
0041 ; 120D ; # A → ል
0041 ; FF91 ; # A → ﾑ
0041 ; 24D0 ; # A → ⓐ
0041 ; FF41 ; # A → ａ
0041 ; 1D41A ; # A → 𝐚
0041 ; 1D586 ; # A → 𝖆
0041 ; 1D482 ; # A → 𝒂
0041 ; 1D4EA ; # A → 𝓪
0041 ; 1D552 ; # A → 𝕒
0041 ; 1D68A ; # A → 𝚊
0041 ; 1D5BA ; # A → 𝖺
0041 ; 1D5EE ; # A → 𝗮
0041 ; 1D656 ; # A → 𝙖
0041 ; 1D622 ; # A → 𝘢
0041 ; 1D51E ; # A → 𝔞
0041 ; 1D43 ; # A → ᵃ
0041 ; 0250 ; # A → ɐ
0041 ; 0252 ; # A → ɒ
0041 ; 00E1 ; # A → á
0041 ; 0061 0324 ; # A → a̤
0041 ; 00E4 ; # A → ä
0041 ; 0061 0324 0308 ; # A → ä̤
0041 ; 0338 0061 ; # A → ̸a
0041 ; 0061 ; # A → a
0041 ; 00E0 ; # A → à
0041 ; 0040 ; # A → @
0041 ; 1D00 ; # A → ᴀ
0041 ; 0251 ; # A → ɑ
0041 ; 0391 ; # A → Α
0041 ; 2C65 ; # A → ⱥ
0041 ; 2C6D ; # A → Ɑ
0041 ; 2C6F ; # A → Ɐ
0041 ; 2C70 ; # A → Ɒ
0041 ; A4EE ; # A → ꓮ
0041 ; A4EF ; # A → ꓯ
0041 ; A656 ; # A → Ꙗ
0041 ; A657 ; # A → ꙗ
0041 ; A658 ; # A → Ꙙ
0041 ; A659 ; # A → ꙙ
0041 ; A65C ; # A → Ꙝ
0041 ; A65D ; # A → ꙝ
0041 ; A662 ; # A → Ꙣ
0041 ; A663 ; # A → ꙣ
0041 ; A680 ; # A → Ꚁ
0041 ; A681 ; # A → ꚁ
0041 ; A688 ; # A → Ꚉ
0041 ; A689 ; # A → ꚉ
0041 ; A738 ; # A → Ꜹ
0041 ; A739 ; # A → ꜹ
0041 ; A73A ; # A → Ꜻ
0041 ; A73B ; # A → ꜻ
0041 ; A73C ; # A → Ꜽ
0041 ; A73D ; # A → ꜽ
0041 ; A8A1 ; # A → ꢡ
0041 ; AA81 ; # A → ꪁ
0041 ; AA8B ; # A → ꪋ
0041 ; AA96 ; # A → ꪖ
0041 ; 102A0 ; # A → 𐊠
0041 ; 102CE ; # A → 𐋎
0041 ; 10300 ; # A → 𐌀
0041 ; 10400 ; # A → 𐐀
0041 ; 1041F ; # A → 𐐟
0041 ; 10428 ; # A → 𐐨
0041 ; 10447 ; # A → 𐑇
0041 ; 10920 ; # A → 𐤠
0041 ; 1105B ; # A → 𑁛
0041 ; 16F1C ; # A → 𖼜
0041 ; 16F1D ; # A → 𖼝
0041 ; 16F40 ; # A → 𖽀
